in s,C2 in V
-2.9740371E+00,-7.5576782E-01
-2.9739913E+00,-7.5515747E-01
-2.9739455E+00,-7.5057983E-01
-2.9738997E+00,-7.5454712E-01
-2.9738539E+00,-7.5790405E-01
-2.9738082E+00,-7.5942993E-01
-2.9737624E+00,-7.6126099E-01
-2.9737166E+00,-7.6400757E-01
-2.9736708E+00,-7.6461792E-01
-2.9736250E+00,-7.6309204E-01
-2.9735792E+00,-7.5942993E-01
-2.9735334E+00,-7.5973511E-01
-2.9734877E+00,-7.6309204E-01
-2.9734419E+00,-7.5912476E-01
-2.9733961E+00,-7.6034546E-01
-2.9733503E+00,-7.6187134E-01
-2.9733045E+00,-7.6431274E-01
-2.9732587E+00,-7.6248169E-01
-2.9732130E+00,-7.6400757E-01
-2.9731672E+00,-7.6187134E-01
-2.9731214E+00,-7.6034546E-01
-2.9730756E+00,-7.5820923E-01
-2.9730298E+00,-7.5241089E-01
-2.9729840E+00,-7.5790405E-01
-2.9729383E+00,-7.5881958E-01
-2.9728925E+00,-7.5912476E-01
-2.9728467E+00,-7.5973511E-01
-2.9728009E+00,-7.5820923E-01
-2.9727551E+00,-7.5912476E-01
-2.9727093E+00,-7.5607300E-01
-2.9726636E+00,-7.6156616E-01
-2.9726178E+00,-7.6187134E-01
-2.9725720E+00,-7.6187134E-01
-2.9725262E+00,-7.6126099E-01
-2.9724804E+00,-7.6034546E-01
-2.9724346E+00,-7.6370239E-01
-2.9723888E+00,-7.6034546E-01
-2.9723431E+00,-7.6065063E-01
-2.9722973E+00,-7.6034546E-01
-2.9722515E+00,-7.6492310E-01
-2.9722057E+00,-7.7011108E-01
-2.9721599E+00,-7.7285767E-01
-2.9721141E+00,-7.6492310E-01
-2.9720684E+00,-7.6675415E-01
-2.9720226E+00,-7.7041626E-01
-2.9719768E+00,-7.6492310E-01
-2.9719310E+00,-7.6797485E-01
-2.9718852E+00,-7.6889038E-01
-2.9718394E+00,-7.6950073E-01
-2.9717937E+00,-7.7041626E-01
-2.9717479E+00,-7.6675415E-01
-2.9717021E+00,-7.6492310E-01
-2.9716563E+00,-7.6431274E-01
-2.9716105E+00,-7.6736450E-01
-2.9715647E+00,-7.7255249E-01
-2.9715190E+00,-7.7011108E-01
-2.9714732E+00,-7.6919556E-01
-2.9714274E+00,-7.7041626E-01
-2.9713816E+00,-7.6614380E-01
-2.9713358E+00,-7.6278687E-01
-2.9712900E+00,-7.6461792E-01
-2.9712442E+00,-7.6828003E-01
-2.9711985E+00,-7.6614380E-01
-2.9711527E+00,-7.6980591E-01
-2.9711069E+00,-7.7255249E-01
-2.9710611E+00,-7.7194214E-01
-2.9710153E+00,-7.7255249E-01
-2.9709695E+00,-7.7194214E-01
-2.9709238E+00,-7.7682495E-01
-2.9708780E+00,-7.7407837E-01
-2.9708322E+00,-7.7438354E-01
-2.9707864E+00,-7.7346802E-01
-2.9707406E+00,-7.7682495E-01
-2.9706948E+00,-7.7651978E-01
-2.9706491E+00,-7.7407837E-01
-2.9706033E+00,-7.7011108E-01
-2.9705575E+00,-7.7072144E-01
-2.9705117E+00,-7.6919556E-01
-2.9704659E+00,-7.7560425E-01
-2.9704201E+00,-7.7560425E-01
-2.9703744E+00,-7.7499390E-01
-2.9703286E+00,-7.7377319E-01
-2.9702828E+00,-7.7804565E-01
-2.9702370E+00,-7.7804565E-01
-2.9701912E+00,-7.7285767E-01
-2.9701454E+00,-7.7560425E-01
-2.9700996E+00,-7.7499390E-01
-2.9700539E+00,-7.7377319E-01
-2.9700081E+00,-7.7438354E-01
-2.9699623E+00,-7.7255249E-01
-2.9699165E+00,-7.6828003E-01
-2.9698707E+00,-7.6766968E-01
-2.9698249E+00,-7.6919556E-01
-2.9697792E+00,-7.7011108E-01
-2.9697334E+00,-7.6950073E-01
-2.9696876E+00,-7.6675415E-01
-2.9696418E+00,-7.7224731E-01
-2.9695960E+00,-7.6980591E-01
-2.9695502E+00,-7.6614380E-01
-2.9695045E+00,-7.7285767E-01
-2.9694587E+00,-7.7438354E-01
-2.9694129E+00,-7.7468872E-01
-2.9693671E+00,-7.7499390E-01
-2.9693213E+00,-7.7072144E-01
-2.9692755E+00,-7.7041626E-01
-2.9692298E+00,-7.6553345E-01
-2.9691840E+00,-7.6553345E-01
-2.9691382E+00,-7.7011108E-01
-2.9690924E+00,-7.6492310E-01
-2.9690466E+00,-7.6705933E-01
-2.9690008E+00,-7.6492310E-01
-2.9689550E+00,-7.6919556E-01
-2.9689093E+00,-7.6492310E-01
-2.9688635E+00,-7.6187134E-01
-2.9688177E+00,-7.6065063E-01
-2.9687719E+00,-7.5576782E-01
-2.9687261E+00,-7.5820923E-01
-2.9686803E+00,-7.5820923E-01
-2.9686346E+00,-7.5942993E-01
-2.9685888E+00,-7.6492310E-01
-2.9685430E+00,-7.6339722E-01
-2.9684972E+00,-7.6248169E-01
-2.9684514E+00,-7.5912476E-01
-2.9684056E+00,-7.6248169E-01
-2.9683599E+00,-7.6370239E-01
-2.9683141E+00,-7.6095581E-01
-2.9682683E+00,-7.6492310E-01
-2.9682225E+00,-7.6553345E-01
-2.9681767E+00,-7.6217651E-01
-2.9681309E+00,-7.6339722E-01
